geoid10,dscore_2013,ascore_2013,pscore_2013,total_score,pop,dist,acre_pp,park_pp
371830545001024,1,3,3,7,40,0.302539,0.019889,0.000608
371830525071006,2,5,5,12,43,1.294948,0,0
371830528064018,2,4,4,10,190,1.091266,0.010303,0.000189
371830536102017,1,4,4,9,52,0.359808,0.001964,0.000197
371830541051015,3,5,5,13,63,2.057779,0,0
371830542091076,3,5,5,13,23,2.344929,0,0
371830540012001,2,4,5,11,47,1.286608,0.002659,6.9e-05
371830518001017,1,4,4,9,67,0.043189,0.006237,0.000524
371830537093043,4,5,5,14,133,2.970916,0,0
371830523021000,1,3,4,8,25,0.614443,0.019121,0.000148
371830538082005,3,5,5,13,39,2.005754,0,0
371830536101081,3,5,5,13,75,2.116102,0,0
371830545001032,1,3,3,7,40,0.245756,0.019889,0.000669
371830518002017,1,4,4,9,72,0.304793,0.006237,0.000524
371830537232006,1,5,4,10,90,0.573421,0,0.00013
371830525061004,1,3,3,7,64,0.623802,0.013421,0.000543
371830509003011,1,2,1,4,47,0.065192,0.026737,0.001546
371830537121017,1,4,5,10,7,0.083295,0.004246,8.2e-05
371830537111023,3,5,5,13,144,1.594195,0,0
371830528063016,3,5,5,13,154,1.914002,0,0
371830541103015,5,5,5,15,55,3.756349,0,0
371830530081049,3,5,5,13,39,1.646216,0,0
371830525032017,2,4,5,11,43,0.676908,0.004523,9.4e-05
371830526012007,1,4,4,9,183,0.487887,0.004062,0.000127
371830521014021,1,3,3,7,19,0.43317,0.013541,0.00076
371830540131012,2,5,5,12,3,1.437142,0,0
371830515011027,2,4,4,10,89,0.9802,0.004112,0.000423
371830541043042,2,1,4,7,29,1.024528,0.03317,0.0002
371830542091077,5,5,5,15,7,3.468867,0,0
371830540112000,2,2,3,7,123,1.098338,0.025679,0.000856
371830541044003,2,5,5,12,84,1.290057,0,0
371830505001001,1,4,3,8,19,0.34605,0.005984,0.00081
371830521021003,2,4,4,10,254,0.715106,0.006846,0.000189
371830505001016,1,4,2,7,36,0.229929,0.006579,0.001119
371830530081045,2,5,5,12,98,1.387602,0,0
371830540171007,3,5,5,13,297,1.930552,0,0
371830540163017,2,5,5,12,128,1.424731,0,0
371830541051019,3,5,5,13,13,1.827211,0,0
371830525061005,1,4,4,9,49,0.308449,0.010986,0.000424
371830512003003,1,4,3,8,16,0.001601,0.00815,0.000695
371830536101037,2,5,5,12,5,1.467728,0,0
371830537252031,3,5,5,13,239,1.750901,0,0
371830537251023,2,5,5,12,36,1.478099,0,0
371830526022008,1,4,4,9,13,0.405167,0.002575,0.000102
371830525052002,2,4,5,11,29,1.192897,0.011085,7.7e-05
371830530081004,3,5,5,13,77,2.092129,0,0
371830527072002,2,3,4,9,21,1.024013,0.013635,0.000189
